data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7240101,760,SYR82770,82770,30-Sep-20,2020,1,Battles,Armed clash,Opposition Rebels (Syria),,2,Islamic State (Syria),,2,22,Middle East,Syria,Aleppo,A'zaz,A'zaz,Azaz,36.5849,37.0432,1,SOHR,Other,"On 30 September 2020, Turkey backed opposition rebels arrested several people who belongs to IS cells in Azaz city in Aleppo countryside. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7240097,760,SYR82766,82766,30-Sep-20,2020,1,Battles,Armed clash,Militia (Pro-Government),YPG: Peoples Protection Units,3,Opposition Rebels (Syria),,2,23,Middle East,Syria,Aleppo,Al Bab,Al Bab,Daghelbash,36.3591,37.4276,2,SOHR,Other,"On 30 September 2020, clashes took place between pro-regime militias supported by YPG against Turkey backed opposition rebels on Daghelbash frontline near Al Bab city in Aleppo countryside, accompanied by artillery shelling exchange. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7240092,760,SYR82758,82758,30-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-),Militia (Pro-Government),1,Opposition Rebels (Syria),,2,12,Middle East,Syria,Aleppo,Jebel Saman,Daret Azza,Al Habata,36.2168,36.8871,2,SOHR,Other,"On 30 September 2020, clashes took place between regime forces supported by pro-regime militias against opposition rebels on Al Habata frontline in Aleppo countryside. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7239992,760,SYR82752,82752,30-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-),,1,Islamic State (Syria),,2,12,Middle East,Syria,Homs,Tadmor,Tadmor,Tadmor,34.5656,38.2877,2,Facebook,New media,"On 30 September 2020, unconfirmed reports claim that IS ambushed regime forces on the Deir-ez-Zor-Tadmor road. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7239937,760,SYR82963,82963,30-Sep-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Syria),,3,Unidentified Armed Group (Syria),Former Opposition Rebels (Syria),3,33,Middle East,Syria,Dar'a,Dar'a,Mzeireb,Tafas,32.7362,36.0673,2,Liveuamap; Facebook; SOHR; SNHR,Local partner-Other,"On 30 September 2020, unknown gunmen shot and killed a former opposition rebel who made a reconciliation deal with the regime on Tafas-Yadoda road in Dar'a countryside.",1,1601941241,SYR
7239877,760,SYR82784,82784,30-Sep-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Syria),,3,Unidentified Armed Group (Syria),Former Islamic State (Syria),3,33,Middle East,Syria,Dar'a,Dar'a,Dar'a,Dar'a,32.6241,36.1049,1,SOHR; Facebook,Other-New media,"On 30 September 2020, an unidentified armed militant shot dead a former IS fighter who made a reconciliation deal with the regime, during the assassination 1 child was also killed in the indiscriminate gunshot. Fatalities coded as 2.",2,1601941240,SYR
7239873,760,SYR82763,82763,30-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-) 5th Assault Corps,,1,Militia (Pro-Government),As-Sweida Communal Militia (Syria); Rijal al Karama,3,13,Middle East,Syria,As-Sweida,Salkhad,Qarayya,Qarayya,32.5429,36.5962,2,Facebook; Liveuamap; Suwayda24,Local partner-New media,"On 30 September 2020, renewed clashes took place between Russian backed 5th Assault Corps against pro-regime militias supported by As-Sweida Communal Militia and Rijal al Karama in the vicinity of Qarayya town in As-Sweida countryside. Neither injuries nor fatalities were reported.",0,1601941240,SYR
7240095,760,SYR82761,82761,29-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-),,1,Unidentified Armed Group (Syria),,3,13,Middle East,Syria,Quneitra,Quneitra,Khan Arnaba,Jaba,33.1621,35.9263,1,SOHR,Other,"On 29 September 2020, unknown gunmen opened fire on a regime patrol in Jaba town in Quneitra countryside, injuring two regime soldiers. No fatalities were reported.",0,1601941241,SYR
7240089,760,SYR82754,82754,29-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-),,1,JTW: National Liberation Front,,2,12,Middle East,Syria,Idleb,Idleb,Teftnaz,Teftnaz,35.9977,36.7833,2,SOHR,Other,"On 29 September 2020, clashes took place between regime forces against JTW on Arbekh frontline east of Teftnaz town in Idleb countryside after an infiltration attempt by regime forces. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7240024,760,SYR82760,82760,29-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-),,1,Unidentified Armed Group (Syria),,3,13,Middle East,Syria,Quneitra,Quneitra,Khan Arnaba,Um Batna,33.1224,35.9015,2,Liveuamap,Local partner-New media,"On 29 September 2020, unknown gunmen opened fire on a regime first lieutenant near Um Batna town in Quneitra countryside, injuring him. No fatalities were reported.",0,1601941241,SYR
7239998,760,SYR82767,82767,29-Sep-20,2020,1,Battles,Armed clash,National Police Forces,,2,Islamic State (Syria),,2,22,Middle East,Syria,Aleppo,Al Bab,Al Bab,Baza'a,36.3834,37.5661,2,Facebook,New media,"On 29 September 2020, National Police Forces arrested two IS fighters in Baza'a area in rural Al Bab in Aleppo countryside. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7239991,760,SYR82960,82960,29-Sep-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Syria),,3,QSD: Syrian Democratic Forces,,2,23,Middle East,Syria,Deir-ez-Zor,Al Mayadin,Thiban,Sweidan Jazira,34.8964,40.59,1,Facebook,New media,"On 29 September 2020, unknown gunmen shot and killed a QSD fighter in Sweidan Jazira town in Deir-ez-Zor countryside.",1,1601941241,SYR
7239933,760,SYR82957,82957,29-Sep-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Syria),,3,HTS: Hayat Tahrir al Sham,Syrian Salvation Government,2,23,Middle East,Syria,Idleb,Idleb,Idleb,Idleb,35.929,36.6353,1,Facebook; SOHR,Other-New media,"On 29 September 2020, clashes took place between unknown gunmen against HTS and Syrian Salvation Government in Idleb city, after the gunmen attacked a Salvation Government security branch, killing 1 of the gunmen, and injuring two HTS fighters.",1,1601941241,SYR
7239878,760,SYR82785,82785,29-Sep-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Syria),,3,QSD: Syrian Democratic Forces,,2,23,Middle East,Syria,Deir-ez-Zor,Deir-ez-Zor,Basira,Shiheil,35.092,40.4543,1,Facebook; SOHR,Other-New media,"On 29 September 2020, two unknown gunmen on a motorbike opened fire on a QSD checkpoint in Shiheil town in Deir-ez-Zor countryside, seriously injuring a QSD fighter. No fatalities were reported.",0,1601941240,SYR
7239876,760,SYR82777,82777,29-Sep-20,2020,1,Battles,Armed clash,Islamic State (Syria),,2,Asayish (Syria),,2,22,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Hole,Hole,36.3905,41.1506,2,SOHR; Facebook; Liveuamap,Local partner-New media,"On 29 September 2020, two IS fighters on a motorbike opened fire on a Asayish checkpoint south of Hole town in Al-Hasakeh countryside, killing 1 Asayish fighter, while Asayish managed to kill one of the attackers who turned out to be an Iraqi IS fighter, and arrested the other. Total fatalities coded to 2.",2,1601941240,SYR
7239867,760,SYR82744,82744,29-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-) 5th Assault Corps,,1,Militia (Pro-Government),As-Sweida Communal Militia (Syria); Rijal al Karama,3,13,Middle East,Syria,As-Sweida,Salkhad,Qarayya,Qarayya,32.5429,36.5962,1,Facebook; Suwayda24; SOHR; SY24; Liveuamap,Local partner-New media,"On 29 September 2020, clashes took place between Russian backed 5th Assault Corps against pro-regime militias supported by As-Sweida Communal Militia and Rijal al Karama on the outskirts and surrounding areas of Qarayya town in As-Sweida countryside, killing between 13 to 14 fighters according to conflicted reports, and injuring more than 60 others. Fatalities coded to 13.",13,1601941240,SYR
7240111,760,SYR82781,82781,28-Sep-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Syria),,3,Asayish (Syria),,2,23,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Hole,Hole Camp,36.3768,41.1333,1,SOHR,Other,"On 28 September 2020, unidentified gunmen opened fire on an Asayish checkpoint in 7th section of Hole Camp in Al-Hasakeh. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7240108,760,SYR82778,82778,28-Sep-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Syria),,3,1st Coastal Division,,2,23,Middle East,Syria,Idleb,Jisr-Ash-Shugur,Badama,Al-Z'einiyeh,35.8407,36.2243,2,SOHR,Other,"On 28 September 2020, unidentified gunmen opened fire on a group of 1st Coastal Division fighters near the village of Al-Z'einiyeh in the countryside of Jisr-Ash-Shugur in Idleb. 1 fighter was injured. No fatalities were reported.",0,1601941241,SYR
7240106,760,SYR82775,82775,28-Sep-20,2020,1,Battles,Armed clash,QSD: Syrian Democratic Forces - Intelligence,,2,HXP: Self-Defense Forces,,3,23,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Shadadah,Shadadah,36.0534,40.7268,1,SOHR,Other,"On 28 September 2020, QSD's intelligence arrested HXP's joint commander in Deir-ez-Zor in the city of Shadadah in the countryside of Al-Hasakeh for unknown reasons.",0,1601941241,SYR
7240102,760,SYR82771,82771,28-Sep-20,2020,1,Battles,Armed clash,Opposition Rebels (Syria),,2,QSD: Syrian Democratic Forces,Menbij Military Council,2,22,Middle East,Syria,Aleppo,Menbij,Menbij,Menbij,36.5258,37.951,2,SOHR,Other,"On 28 September 2020, pro-Turkey rebel factions clashed with QSD's Menbij Military Council in the north-eastern frontlines of Menbij city in Aleppo. Neither injuries nor fatalities were reported.",0,1601941241,SYR
7240090,760,SYR82755,82755,28-Sep-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-),Militia (Pro-Government),1,JWS: Syrian National Army,,2,12,Middle East,Syria,Aleppo,Al Bab,A'rima,Sukkariyah Saghira,36.3701,37.7029,2,SOHR,Other,"On 28 September 2020, regime forces and pro-regime militias clashed with JWS on the frontlines of Sukkariyah in the countryside of Aleppo. Clashes were accompanied by exchange of shelling. Neither injuries nor fatalities were reported.",0,1601941241,SYR
